Scene Token,Scene Name,Description,Num Samples,Camera,LiDAR,RADAR,Num_Vehicle_Observations,Num_Vehicles,Mean_Vehicle_Speed_mps,Median_Vehicle_Speed_mps,P95_Vehicle_Speed_mps,weather,area,daytime,season,lighting,structure,construction,Eligible,Selection_Speed_Group,Selection_Reason
2f60705136a348a0aad2283d38f33edd,scene-a47fe0701d2b40628c47322c9f991986-8,weather.clear;area.city;daytime.noon;season.winter;lighting.illuminated;structure.regular;construction.unchanged,40,804,1205,2365,3255,132,3.1735623219980185,0.22471322258839704,13.673180731036696,clear,city,noon,winter,illuminated,regular,unchanged,True,Q1_low,context_representative
9ebc1f5c148244b0ae4bb42b49339186,scene-3f542f89ec5241b6a4e30ca743adcf34-31,weather.overcast;area.highway;daytime.morning;season.summer;lighting.illuminated;structure.regular;construction.roadworks,40,804,1206,2218,3156,154,11.807039723401063,16.377670188577035,23.89452446795871,overcast,highway,morning,summer,illuminated,regular,roadworks,True,Q2,context_representative
37f8e26d4e964073be50d6fb4e04af45,scene-0afa5cb3c6d34a998a7da1c6206511c7-2,weather.rain;area.highway;daytime.noon;season.autumn;lighting.glare;structure.underpass;construction.unchanged,40,805,1208,2382,2935,122,6.066614782891366,3.398300620731854,28.713307478733732,rain,highway,noon,autumn,glare,underpass,unchanged,True,Q1_low,context_representative
6cd748a73e834510b4457d254f628cd4,scene-0afa5cb3c6d34a998a7da1c6206511c7-6,weather.rain;area.highway;daytime.noon;season.autumn;lighting.dark;structure.regular;construction.unchanged,40,805,1207,2405,2924,100,5.537524415379369,2.4721485765481184,25.549060675145206,rain,highway,noon,autumn,dark,regular,unchanged,True,Q1_low,context_representative
099f5eaf96d74a2cbd7f60dc760a050f,scene-f64433299e854aff822d736aca2a62b4-24,weather.clear;area.highway;daytime.morning;season.summer;lighting.illuminated;structure.overpass;construction.unchanged,40,805,1207,2344,2809,163,8.173102969654035,1.6008582578090949,25.929663413456357,clear,highway,morning,summer,illuminated,overpass,unchanged,True,Q1_low,context_representative
da2cbd2cbd354da0a10ee33a6bc09c09,scene-2a8ba56871df4cbd9ae75f13c3171af2-8,weather.overcast;area.city;daytime.noon;season.autumn;lighting.illuminated;structure.regular;construction.unchanged,40,804,1205,2369,2791,101,3.5859849698443873,0.2314638077036418,16.684835110567672,overcast,city,noon,autumn,illuminated,regular,unchanged,True,Q1_low,context_representative
984086cdc4b14ef699f3635a4f5ff8cd,scene-0afa5cb3c6d34a998a7da1c6206511c7-5,weather.rain;area.highway;daytime.noon;season.autumn;lighting.glare;structure.regular;construction.unchanged,40,805,1208,2415,2714,106,6.429750617877629,2.9847732376890694,30.033076827147998,rain,highway,noon,autumn,glare,regular,unchanged,True,Q1_low,context_representative
a4c7a781c4dd49479fe8c56a4259b548,scene-9a38f389937c4b3f96a8b81eb3902261-3,weather.rain;area.city;daytime.evening;season.autumn;lighting.glare;structure.regular;construction.unchanged,40,805,1208,2316,2698,127,4.791389252543879,0.4930219562146181,15.16318278101308,rain,city,evening,autumn,glare,regular,unchanged,True,Q1_low,context_representative
05e9a973df154ce4929fb93715d2563e,scene-bd14694f937f4df3aa278c5a9cc2a554-21,weather.overcast;area.highway;daytime.noon;season.summer;lighting.illuminated;structure.regular;construction.unchanged,40,804,1206,2280,2691,180,7.489843897175826,2.032109551330399,25.931709879821952,overcast,highway,noon,summer,illuminated,regular,unchanged,True,Q1_low,context_representative
c410894ce8374a4f93a4fabff8dfb52c,scene-b201f6e737e34c2d87830fc1e2911516-7,weather.rain;area.highway;daytime.noon;season.autumn;lighting.illuminated;structure.regular;construction.unchanged,40,805,1207,2239,2635,97,5.353969647615862,2.9873248280075497,24.153459939460905,rain,highway,noon,autumn,illuminated,regular,unchanged,True,Q1_low,context_representative
763c76e468174b35a2d828ff4b117883,scene-a2fd0ce217b5420982d94bccc8e0614c-15,weather.overcast;area.rural;daytime.noon;season.winter;lighting.illuminated;structure.regular;construction.unchanged,35,805,1105,2239,2601,209,2.784414604986064,0.39446463336655885,18.82965789396188,overcast,rural,noon,winter,illuminated,regular,unchanged,True,Q1_low,context_representative
749909f0d1c343d785d5c68428d152ae,scene-a47fe0701d2b40628c47322c9f991986-13,weather.clear;area.city;daytime.evening;season.winter;lighting.twilight;structure.regular;construction.unchanged,40,804,1205,2408,2509,91,3.465027247656927,1.8819940647063547,10.877889337809158,clear,city,evening,winter,twilight,regular,unchanged,True,Q1_low,context_representative
38d4ba33fce94499be34f32d245113ed,scene-a6a87db5125846bda72ccfc9931ee153-11,weather.clear;area.city;daytime.noon;season.winter;lighting.twilight;structure.regular;construction.unchanged,40,804,1208,2387,2397,115,3.5781074486392277,0.2972971985365936,12.032726974304829,clear,city,noon,winter,twilight,regular,unchanged,True,Q1_low,context_representative
